Event 1 Sec 1485567053 NS 572454912
A2A70632 BCID: 1586
0 0
0 0
6 35
1 14
0 12
Event 43 Sec 1485567195 NS 557404160
A2570F39 BCID: 3897
0 0
3 17
0 0
2 20
0 0
6 35
1 14
0 12
Event 44 Sec 1485567197 NS 556569088
A2D70127 BCID: 295
5 35
3 17
0 0
2 20
0 0
6 35
4 19
0 12
Event 45 Sec 1485567198 NS 565709056
A2570A1E BCID: 2590
0 0
3 17
0 0
2 20
0 0
6 35
1 14
0 12
Event 46 Sec 1485567199 NS 575067136
A2D70314 BCID: 788
5 35
3 17
0 0
2 20
0 0
6 35
1 14
0 12
Event 47 Sec 1485567200 NS 564630016
A2F70C0A BCID: 3082
5 35
3 17
4 23
2 20
0 0
6 35
1 14
0 12
Event 48 Sec 1485567204 NS 564129024
A2D70FE6 BCID: 4070
5 35
3 17
0 0
2 20
0 0
6 35
1 14
0 12
Event 49 Sec 1485567206 NS 563031040
A2D701D4 BCID: 468
5 35
3 17
0 0
2 20
0 0
6 35
1 14
0 12
Event 50 Sec 1485567210 NS 561975040
A2F705B2 BCID: 1458
5 35
3 17
4 23
2 20
0 0
6 35
1 14
0 12
Event 51 Sec 1485567213 NS 569999872
A2B70099 BCID: 153
5 35
0 0
4 23
2 20
0 0
6 35
1 14
0 12
Event 52 Sec 1485567217 NS 571041024
A2570477 BCID: 1143
0 0
3 17
0 0
2 20
0 0
6 35
1 14
0 12
Event 53 Sec 1485567220 NS 572114944
A2F70F5F BCID: 3935
5 35
3 17
4 23
2 20
0 0
6 35
1 14
0 12
Event 54 Sec 1485567237 NS 562498048
A25707DD BCID: 2013
0 0
3 17
0 0
2 20
0 0
6 35
1 14
0 12
Event 55 Sec 1485567240 NS 574373120
A25702C6 BCID: 710
0 0
3 17
0 0
2 20
0 0
6 35
1 14
0 12
Event 56 Sec 1485567241 NS 563901952
A2B70BBE BCID: 3006
5 35
0 0
4 23
2 20
0 0
6 35
1 14
0 12
Event 57 Sec 1485567246 NS 570822912
A257089A BCID: 2202
0 0
3 17
0 0
2 20
0 0
6 35
1 14
0 12
Event 58 Sec 1485567247 NS 560328960
A2F70192 BCID: 402
5 35
3 17
4 23
2 20
0 0
6 35
1 14
0 12
Event 59 Sec 1485567249 NS 559211008
A2F70383 BCID: 899
5 35
3 17
4 23
2 20
0 0
6 35
1 14
0 12
Event 60 Sec 1485567250 NS 568433152
A2F70C7C BCID: 3196
5 35
3 17
4 23
2 20
0 0
6 35
1 14
0 12
Event 61 Sec 1485567252 NS 567816960
A2F70E6E BCID: 3694
5 35
3 17
4 23
2 20
0 0
6 35
1 14
0 12
Event 62 Sec 1485567255 NS 562972160
