BCID: 730	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 3217	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 731	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 3218	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 301	hitmap: 00000000000000000000000000000100	Boards: 0	VMMs: 2		CHs 6 4 4 4 4 4 4 4
BCID: 2788	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 302	hitmap: 00000000000000100100000000000100	Boards: 0 1 2	VMMs: 2 6 1	CHs 6 1 21 4 4 4 4 4
BCID: 2789	hitmap: 00100000000010000000000000010000	Boards: 0 2 3	VMMs: 4 3 5	CHs 22 22 2 1 1 1 1 1
BCID: 303	hitmap: 00000000000000100000000000000000	Boards: 2	VMMs: 1		CHs 21 4 4 4 4 4 4 4
BCID: 2790	hitmap: 00100000000010000000100000010000	Boards: 0 1 2 3	VMMs: 4 3 3 5	CHs 22 23 22 2 1 1 1 1
BCID: 1519	hitmap: 00000000000000000100000000000100	Boards: 0 1	VMMs: 2 6	CHs 6 1 4 4 4 4 4 4
BCID: 4006	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 1520	hitmap: 00000000000000100100000000000100	Boards: 0 1 2	VMMs: 2 6 1	CHs 6 1 21 4 4 4 4 4
BCID: 4007	hitmap: 00100000000010000000100000010000	Boards: 0 1 2 3	VMMs: 4 3 3 5	CHs 22 23 22 2 1 1 1 1
BCID: 1521	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 4008	hitmap: 00000000000010000000100000010000	Boards: 0 1 2	VMMs: 4 3 3	CHs 22 23 22 1 1 1 1 1
BCID: 279	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 2766	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 280	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 2767	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 2737	hitmap: 00000000000000000000000000000100	Boards: 0	VMMs: 2		CHs 6 4 4 4 4 4 4 4
BCID: 1128	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 2738	hitmap: 00000000000000000100000000000100	Boards: 0 1	VMMs: 2 6	CHs 6 1 4 4 4 4 4 4
BCID: 1129	hitmap: 00100000000010000000000000000000	Boards: 2 3	VMMs: 3 5	CHs 22 2 1 1 1 1 1 1
BCID: 2739	hitmap: 00000000000000100100000000000000	Boards: 1 2	VMMs: 6 1	CHs 1 21 4 4 4 4 4 4
BCID: 1130	hitmap: 00100000000010000000100000010000	Boards: 0 1 2 3	VMMs: 4 3 3 5	CHs 22 23 22 2 1 1 1 1
BCID: 2740	hitmap: 00000000000000100000000000000000	Boards: 2	VMMs: 1		CHs 21 4 4 4 4 4 4 4
BCID: 1131	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 3954	hitmap: 00000000000000000000000000000100	Boards: 0	VMMs: 2		CHs 6 4 4 4 4 4 4 4
BCID: 2345	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 3955	hitmap: 00000000000000100100000000000100	Boards: 0 1 2	VMMs: 2 6 1	CHs 6 1 21 4 4 4 4 4
BCID: 2346	hitmap: 00100000000010000000100000010000	Boards: 0 1 2 3	VMMs: 4 3 3 5	CHs 22 23 22 2 1 1 1 1
BCID: 3956	hitmap: 00000000000000100000000000000000	Boards: 2	VMMs: 1		CHs 21 4 4 4 4 4 4 4
BCID: 2347	hitmap: 00000000000010000000100000010000	Boards: 0 1 2	VMMs: 4 3 3	CHs 22 23 22 1 1 1 1 1
