
4 29

TIME: 1485125111104995840.000000

A2AF08F2 BCID: 2290
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

TIME: 1485125112048376064.000000

A2BF01E6 BCID: 486
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125113085153024.000000

A2BF0AD9 BCID: 2777
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125114104851968.000000

A2BF03CD BCID: 973
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125115065303040.000000

A2BF0CC1 BCID: 3265
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125116065510144.000000

A2BF05B5 BCID: 1461
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125117104935936.000000

A2BF0EA8 BCID: 3752
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125118085244928.000000

A2BF079D BCID: 1949
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125119105030912.000000

A2BF0091 BCID: 145
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125120104947200.000000

A2BF0984 BCID: 2436
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125121048433152.000000

A2BF0279 BCID: 633
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125122085199104.000000

A2BF0B6E BCID: 2926
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125123085228800.000000

A2BF0462 BCID: 1122
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125124085239040.000000

A2BF0D56 BCID: 3414
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125125048478976.000000

A2BF064B BCID: 1611
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125126065443072.000000

A2BF0F3F BCID: 3903
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125127048443136.000000

A2BF0834 BCID: 2100
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125128065463040.000000

A2AF0128 BCID: 296
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

TIME: 1485125128065586944.000000

A2B70128 BCID: 296
1 28
0 0
0 15
6 26
0 0
2 12
5 11
4 29

TIME: 1485125129048502016.000000

A2BF0A1C BCID: 2588
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125130085355008.000000

A2BF0310 BCID: 784
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125130085500928.000000

A2BE0310 BCID: 784
1 28
0 0
0 15
6 26
3 27
2 12
5 11
0 0

TIME: 1485125131085251072.000000

A2BF0C04 BCID: 3076
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125132048600064.000000

A2AF04F8 BCID: 1272
1 28
0 0
0 15
0 0
3 27
2 12
5 11
